"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Issues","3","0","Create new issue","0"
"0","","1","Order Management","4","0","Test order notifications","0"
"0","","1","Mobile Functionality","4","0","Screen resolutions","0"
"0","","0","Event System","5","0","Event storage","0"
"0","","3","Product Management","5","0","Search products by category","0"
"0","","0","Order API","5","0","Search orders by customer","0"
"0","","4","Search Functionality","0","0","Search with availability filters","0"
"0","","0","Order API","6","0","Test payment processing","0"
"0","","0","Logging System","5","0","Log management","0"
"0","","8","Search Functionality","0","0","Search with category filters","0"
"0","","1","Integration","7","0","Multiple payment gateways","0"
"0","","0","Logging System","5","0","Log levels","0"
"0","","0","Product API","5","0","Test product variants","0"
"0","","2","Product Management","2","0","Filter products by price","0"
"0","","0","Integration API","2","0","Integration API functionality","0"
"0","","0","Integration API","1","0","Data synchronization","0"
"0","","6","Search Functionality","0","0","Search with sorting options","0"
"0","","0","Order API","5","0","Check order items","0"
"0","","0","Product Management","1","0","Add new product","0"
"0","","5","Search Functionality","0","0","Search with rating filters","0"
"0","","0","Issues","5","0","Close existing issue","0"
"0","","2","Product Management","3","0","Validate product images","0"
"0","","0","Order API","4","0","Update order status","0"
"0","","0","Mobile Functionality","5","0","Mobile sensors","0"
"0","","0","Product API","10","0","Search products by brand","0"
"0","","1","Security","4","0","Invalid authentication attempts","0"
"0","","0","Mobile Functionality","4","0","Device orientations","0"
"0","","0","Reporting System","5","0","Report export formats","0"
"0","","0","Reporting System","5","0","Time-based reporting","0"
"0","","1","Order Management","4","0","Test different shipping methods","0"
"0","","0","Security","4","0","CSRF token validation","0"
"0","","1","Integration","0","0","CRM integration","0"
"0","","0","Product API","5","0","Update product price","0"
"0","","0","Analytics Dashboard","2","0","Data analytics functionality","0"
"0","","0","Analytics Dashboard","1","0","Dashboard loading","0"
"0","","1","Mobile Functionality","4","0","Mobile notifications","0"
"0","","0","Event System","5","0","Event organization","0"
"0","","0","Logging System","5","0","Log processing","0"
"0","","0","Product API","5","0","Check product dimensions","0"
"0","","0","Event System","5","0","Event observability","0"
"0","","0","Notification System","2","0","Notification functionality","0"
"0","","0","Notification System","1","0","Notification delivery","0"
"0","","2","Reporting System","3","0","Report visualization","0"
"0","","0","Notification API","8","0","Send notifications via different channels","0"
"0","","0","Mobile Functionality","5","0","Device types","0"
"0","","2","Integration","6","0","Inventory system integration","0"
"0","","0","Product API","5","0","Verify product images","0"
"0","","1","Reporting System","4","0","Multi-language reporting","0"
"0","","0","Mobile Functionality","5","0","Network conditions","0"
"0","","0","Product Management","1","0","Delete product","0"
"0","","0","Mobile Functionality","5","0","Mobile browsers","0"
"0","","1","Reporting System","4","0","Regional reporting","0"
"0","","0","Event System","5","0","Event processing modes","0"
"0","","0","Order API","6","0","Filter orders by date","0"
"0","","2","Mobile Functionality","3","0","Touch gestures","0"
"0","","0","Pull Requests","1","0","Close existing pull request","0"
"0","","0","Notification API","5","0","Test notification delivery methods","0"
"0","","0","User API","3","0","User API functionality","0"
"0","","0","User API","1","0","User deletion","0"
"0","","1","Product Management","0","0","Check product stock","0"
"0","","0","Logging System","5","0","Log fields","0"
"0","","0","Reporting System","4","0","Report type generation","0"
"0","","2","Order Management","3","0","Test different payment methods","0"
"0","","0","Database Operations","3","0","Database functionality","0"
"0","","0","Database Operations","1","0","Data insertion","0"
"0","","0","Order Management","10","0","Create orders with multiple items","0"
"0","","0","Event System","5","0","Event serialization","0"
"0","","0","Order API","5","0","Verify shipping addresses","0"
"0","","0","Order Management","4","0","Test delivery dates","0"
"0","","0","Event System","5","0","Event error handling","0"
"0","","0","Analytics Dashboard","1","0","Analytics views","0"
"0","","0","Mobile Functionality","1","0","Responsive design","0"
"0","","1","Integration","0","0","Webhook integration","0"
"0","","0","Integration","1","0","Payment integration","0"
"0","","0","Order Management","1","0","Reorder previous order","0"
"0","","0","Event System","5","0","Event types","0"
"0","","1","Search Functionality","0","0","Advanced search options","0"
"0","","0","Event System","1","0","Event system initialization","0"
"0","","0","Database Operations","1","0","Database connection","0"
"0","","0","User API","1","0","User profile","0"
"0","","0","Logging System","5","0","Log destinations","0"
"0","","0","Integration API","1","0","API integration","0"
"0","","0","Workflow Management","2","0","Workflow functionality","0"
"0","","0","Workflow Management","1","0","Workflow execution","0"
"0","","1","Security","0","0","HTTPS enforcement","0"
"0","","1","Order Management","0","0","Export order history","0"
"0","","1","Security","0","0","Security event logging","0"
"0","","1","Search Functionality","0","0","Search with no results","0"
"0","","0","Security","1","0","SQL injection prevention","0"
"0","","0","Security","1","0","Session timeout","0"
"0","","1","Product Management","0","0","Edit existing product","0"
"0","","0","","1","0","","0"
"0","","0","Logging System","1","0","Logging initialization","0"
"0","","0","Workflow Management","1","0","Workflow creation","0"
"0","","0","Security","1","0","Access control","0"
"0","","0","Notification System","1","0","Notification system","0"
"0","","0","Order Management","1","0","Create new order","0"
"0","","0","Database Operations","1","0","Data query","0"
"0","","1","Data Validation","1","0","Data validation functionality","0"
"0","","1","Data Validation","0","0","Input validation","0"
"0","","0","User API","1","0","User creation","0"
"0","","0","Data Validation","1","0","Format validation","0"
"0","","0","Pull Requests","1","0","Create new pull request","0"
