"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","Test different log management features [4] Cleanup","","2026-09-21","passed","2026-09-21","","io.demo.LoggingTest","io.demo.LoggingTest","shouldTestDifferentLogManagementFeatures"
"","1","shouldSearchProductsByBrand(String) Search products by brand: Sony","","2026-09-21","passed","2026-09-21","","io.demo.ProductApiTest","io.demo.ProductApiTest","shouldSearchProductsByBrand"
"","1","shouldDeleteOrderById(int) Delete order with ID: 80","","2026-09-21","passed","2026-09-21","","io.demo.OrderApiTest","io.demo.OrderApiTest","shouldDeleteOrderById"
"","1","shouldCreateProductViaApi(String) Create product with category: Health","","2026-09-21","passed","2026-09-21","","io.demo.ProductApiTest","io.demo.ProductApiTest","shouldCreateProductViaApi"
"","23","shouldSearchProductsByCategory(String) Search product by category: Books","","2026-09-21","failed","2026-09-21","","io.demo.ProductManagementTest","io.demo.ProductManagementTest","shouldSearchProductsByCategory"
"","1003","shouldIntegrateWithSocialMedia(String) Test social media integration: LinkedIn","","2026-09-21","passed","2026-09-21","","io.demo.IntegrationTest","io.demo.IntegrationTest","shouldIntegrateWithSocialMedia"
"","1002","shouldRejectWeakPasswords(String) Test password strength for: weak","","2026-09-21","passed","2026-09-21","","io.demo.SecurityTest","io.demo.SecurityTest","shouldRejectWeakPasswords"
"","3","shouldDeleteProductById(int) Delete product with ID: 36","","2026-09-21","passed","2026-09-21","","io.demo.ProductApiTest","io.demo.ProductApiTest","shouldDeleteProductById"
"","1025","shouldIntegrateWithThirdPartyAPI(String) Test third-party API integration: Music API","","2026-09-21","failed","2026-09-21","","io.demo.IntegrationTest","io.demo.IntegrationTest","shouldIntegrateWithThirdPartyAPI"
"","0","Test different event serialization formats [2] XML","","2026-09-21","passed","2026-09-21","","io.demo.EventTest","io.demo.EventTest","shouldTestDifferentEventSerializationFormats"
"","1","shouldVerifyProductImages(String) Verify product images for: Side View","","2026-09-21","passed","2026-09-21","","io.demo.ProductApiTest","io.demo.ProductApiTest","shouldVerifyProductImages"
"","23","shouldSearchWithPriceRange(int, int, String) Search with price range: 101 to 200","","2026-09-21","failed","2026-09-21","","io.demo.SearchFunctionalityTest","io.demo.SearchFunctionalityTest","shouldSearchWithPriceRange"
"","1001","Generate reports in different languages [3] French","","2026-09-21","passed","2026-09-21","","io.demo.ReportingTest","io.demo.ReportingTest","shouldGenerateReportsInDifferentLanguages"
"","1002","Prevent SQL injection in login form","","2026-09-21","passed","2026-09-21","","io.demo.SecurityTest","io.demo.SecurityTest","shouldPreventSqlInjection"
"","1","shouldVerifyShippingAddress(String) Verify shipping address for: Office","","2026-09-21","passed","2026-09-21","","io.demo.OrderApiTest","io.demo.OrderApiTest","shouldVerifyShippingAddress"
"","2002","Deleting existing issue for authorized user","","2026-09-21","passed","2026-09-21","","io.demo.PullRequestsWebTest","io.demo.PullRequestsWebTest","shouldClosePullRequest"
"","1","shouldCreateNotificationTemplate(String) Create notification template: Security Alert","","2026-09-21","passed","2026-09-21","","io.demo.NotificationApiTest","io.demo.NotificationApiTest","shouldCreateNotificationTemplate"
"","1002","Generate reports for different user roles [2] Manager","","2026-09-21","passed","2026-09-21","","io.demo.ReportingTest","io.demo.ReportingTest","shouldGenerateReportsForDifferentUserRoles"
"","1","shouldSearchProductsByBrand(String) Search products by brand: HP","","2026-09-21","passed","2026-09-21","","io.demo.ProductApiTest","io.demo.ProductApiTest","shouldSearchProductsByBrand"
"","1","shouldSearchOrdersByCustomer(String) Search orders by customer: jane.smith@example.com","","2026-09-21","passed","2026-09-21","","io.demo.OrderApiTest","io.demo.OrderApiTest","shouldSearchOrdersByCustomer"
"","1002","Generate reports for different time periods [2] Weekly","","2026-09-21","passed","2026-09-21","","io.demo.ReportingTest","io.demo.ReportingTest","shouldGenerateTimeBasedReports"
"","1","shouldGetNotificationById(int) Get notification by ID: 90","","2026-09-21","passed","2026-09-21","","io.demo.NotificationApiTest","io.demo.NotificationApiTest","shouldGetNotificationById"
"","1003","shouldIntegrateWithAnalytics(String) Test analytics integration: Google Analytics","","2026-09-21","passed","2026-09-21","","io.demo.IntegrationTest","io.demo.IntegrationTest","shouldIntegrateWithAnalytics"
"","0","shouldDeleteProductById(int) Delete product with ID: 45","","2026-09-21","passed","2026-09-21","","io.demo.ProductApiTest","io.demo.ProductApiTest","shouldDeleteProductById"
"","1002","shouldIntegrateWithSocialMedia(String) Test social media integration: Twitter","","2026-09-21","passed","2026-09-21","","io.demo.IntegrationTest","io.demo.IntegrationTest","shouldIntegrateWithSocialMedia"
"","1002","shouldTrackOrderStatus(String) Track order status: Delivered","","2026-09-21","passed","2026-09-21","","io.demo.OrderManagementTest","io.demo.OrderManagementTest","shouldTrackOrderStatus"
"","1001","shouldValidateProductImage(String) Validate product image for: Product E","","2026-09-21","passed","2026-09-21","","io.demo.ProductManagementTest","io.demo.ProductManagementTest","shouldValidateProductImage"
"","1002","Generate regional reports [5] Central","","2026-09-21","passed","2026-09-21","","io.demo.ReportingTest","io.demo.ReportingTest","shouldGenerateRegionalReports"
"","1002","shouldValidateProductImage(String) Validate product image for: Product B","","2026-09-21","passed","2026-09-21","","io.demo.ProductManagementTest","io.demo.ProductManagementTest","shouldValidateProductImage"
"","1002","Generate reports for different time periods [4] Quarterly","","2026-09-21","passed","2026-09-21","","io.demo.ReportingTest","io.demo.ReportingTest","shouldGenerateTimeBasedReports"
"","1025","shouldIntegrateWithShippingProvider(String) Test shipping provider integration: Canada Post","","2026-09-21","failed","2026-09-21","","io.demo.IntegrationTest","io.demo.IntegrationTest","shouldIntegrateWithShippingProvider"
"","1","shouldCreateUserNote(String) Create issue via api Second Note","","2026-09-21","passed","2026-09-21","","io.demo.IssuesRestTest","io.demo.IssuesRestTest","shouldCreateUserNote"
"","1","Test different log processing modes [5] Event-driven","","2026-09-21","passed","2026-09-21","","io.demo.LoggingTest","io.demo.LoggingTest","shouldTestDifferentLogProcessingModes"
"","1026","shouldIntegrateWithShippingProvider(String) Test shipping provider integration: DHL","","2026-09-21","failed","2026-09-21","","io.demo.IntegrationTest","io.demo.IntegrationTest","shouldIntegrateWithShippingProvider"
"","1","shouldUpdateProductPrice(String, double) Update product Product B price to 49.99","","2026-09-21","passed","2026-09-21","","io.demo.ProductApiTest","io.demo.ProductApiTest","shouldUpdateProductPrice"
"","1","shouldSearchProductsByBrand(String) Search products by brand: Adidas","","2026-09-21","passed","2026-09-21","","io.demo.ProductApiTest","io.demo.ProductApiTest","shouldSearchProductsByBrand"
"","1","shouldFilterOrdersByDate(String) Filter orders by date range: this_month","","2026-09-21","passed","2026-09-21","","io.demo.OrderApiTest","io.demo.OrderApiTest","shouldFilterOrdersByDate"
"","23","shouldSearchWithPriceRange(int, int, String) Search with price range: 51 to 100","","2026-09-21","failed","2026-09-21","","io.demo.SearchFunctionalityTest","io.demo.SearchFunctionalityTest","shouldSearchWithPriceRange"
"","1","shouldGetOrderById(int) Get order by ID: 52","","2026-09-21","passed","2026-09-21","","io.demo.OrderApiTest","io.demo.OrderApiTest","shouldGetOrderById"
"","1","shouldDeleteNotificationById(int) Delete notification with ID: 97","","2026-09-21","passed","2026-09-21","","io.demo.NotificationApiTest","io.demo.NotificationApiTest","shouldDeleteNotificationById"
"","5","shouldSearchProductsByBrand(String) Search products by brand: Apple","","2026-09-21","passed","2026-09-21","","io.demo.ProductApiTest","io.demo.ProductApiTest","shouldSearchProductsByBrand"
"","1002","shouldPreventXssAttack(String) Test XSS prevention with payload: javascript:void(alert('XSS'))","","2026-09-21","passed","2026-09-21","","io.demo.SecurityTest","io.demo.SecurityTest","shouldPreventXssAttack"
"","0","Test different event delivery modes [5] On-demand","","2026-09-21","passed","2026-09-21","","io.demo.EventTest","io.demo.EventTest","shouldTestDifferentEventDeliveryModes"
"","1002","Test different mobile notification types [1] Push Notifications","","2026-09-21","passed","2026-09-21","","io.demo.MobileTest","io.demo.MobileTest","shouldTestDifferentMobileNotificationTypes"
"","1024","Generate different report types [4] Product, Performance","","2026-09-21","failed","2026-09-21","","io.demo.ReportingTest","io.demo.ReportingTest","shouldGenerateDifferentReportTypes"
"","24","shouldSearchWithAvailabilityFilter(String) Search with availability filter: Coming Soon","","2026-09-21","failed","2026-09-21","","io.demo.SearchFunctionalityTest","io.demo.SearchFunctionalityTest","shouldSearchWithAvailabilityFilter"
"","1024","HTTP requests should redirect to HTTPS","","2026-09-21","failed","2026-09-21","","io.demo.SecurityTest","io.demo.SecurityTest","shouldRedirectHttpToHttps"
"","1","Test different log levels [4] ERROR","","2026-09-21","passed","2026-09-21","","io.demo.LoggingTest","io.demo.LoggingTest","shouldTestDifferentLogLevels"
"","1002","Test different mobile screen resolutions [4] 768x1024","","2026-09-21","passed","2026-09-21","","io.demo.MobileTest","io.demo.MobileTest","shouldTestDifferentMobileScreenResolutions"
"","1002","shouldIntegrateWithShippingProvider(String) Test shipping provider integration: USPS","","2026-09-21","passed","2026-09-21","","io.demo.IntegrationTest","io.demo.IntegrationTest","shouldIntegrateWithShippingProvider"
"","1002","Test different mobile app states [4] Battery Optimization","","2026-09-21","passed","2026-09-21","","io.demo.MobileTest","io.demo.MobileTest","shouldTestDifferentMobileAppStates"
"","1002","shouldFilterProductsByPrice(int, int, String) Filter products by price range: 51","","2026-09-21","passed","2026-09-21","","io.demo.ProductManagementTest","io.demo.ProductManagementTest","shouldFilterProductsByPrice"
"","1025","Test different mobile device types [2] Android","","2026-09-21","failed","2026-09-21","","io.demo.MobileTest","io.demo.MobileTest","shouldTestDifferentMobileDeviceTypes"
"","1","shouldTestNotificationDelivery(String) Test notification delivery for: batch","","2026-09-21","passed","2026-09-21","","io.demo.NotificationApiTest","io.demo.NotificationApiTest","shouldTestNotificationDelivery"
"","1002","shouldTrackOrderStatus(String) Track order status: Shipped","","2026-09-21","passed","2026-09-21","","io.demo.OrderManagementTest","io.demo.OrderManagementTest","shouldTrackOrderStatus"
"","1001","shouldValidateCsrfToken(String) Test CSRF protection for: PUT","","2026-09-21","passed","2026-09-21","","io.demo.SecurityTest","io.demo.SecurityTest","shouldValidateCsrfToken"
"","1002","shouldIntegrateWithShippingProvider(String) Test shipping provider integration: Deutsche Post","","2026-09-21","passed","2026-09-21","","io.demo.IntegrationTest","io.demo.IntegrationTest","shouldIntegrateWithShippingProvider"
"","1002","shouldRejectInvalidCredentials(String, String) Test authentication with invalid credentials: ","","2026-09-21","passed","2026-09-21","","io.demo.SecurityTest","io.demo.SecurityTest","shouldRejectInvalidCredentials"
"","1","shouldTestPaymentProcessing(String) Test payment processing for: apple_pay","","2026-09-21","passed","2026-09-21","","io.demo.OrderApiTest","io.demo.OrderApiTest","shouldTestPaymentProcessing"
"","1002","shouldTestDeliveryDate(String, String) Test delivery date: Next Month","","2026-09-21","passed","2026-09-21","","io.demo.OrderManagementTest","io.demo.OrderManagementTest","shouldTestDeliveryDate"
"","1","shouldGetNotificationById(int) Get notification by ID: 95","","2026-09-21","passed","2026-09-21","","io.demo.NotificationApiTest","io.demo.NotificationApiTest","shouldGetNotificationById"
"","1028","shouldIntegrateWithInventorySystem(String) Test inventory system integration: Xero","","2026-09-21","failed","2026-09-21","","io.demo.IntegrationTest","io.demo.IntegrationTest","shouldIntegrateWithInventorySystem"
"","1","shouldDeleteProductById(int) Delete product with ID: 44","","2026-09-21","passed","2026-09-21","","io.demo.ProductApiTest","io.demo.ProductApiTest","shouldDeleteProductById"
"","1","shouldGetOrderById(int) Get order by ID: 60","","2026-09-21","passed","2026-09-21","","io.demo.OrderApiTest","io.demo.OrderApiTest","shouldGetOrderById"
"","0","shouldCreateNotificationTemplate(String) Create notification template: Promotion","","2026-09-21","passed","2026-09-21","","io.demo.NotificationApiTest","io.demo.NotificationApiTest","shouldCreateNotificationTemplate"
"","1002","shouldPreventXssAttack(String) Test XSS prevention with payload: javascript:alert('XSS')","","2026-09-21","passed","2026-09-21","","io.demo.SecurityTest","io.demo.SecurityTest","shouldPreventXssAttack"
"","2","Test different event priorities [4] Info, 24 hours","","2026-09-21","passed","2026-09-21","","io.demo.EventTest","io.demo.EventTest","shouldTestDifferentEventPriorities"
